,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
14,Belize,BLZ,106206.0,29907248128.0,55873729536.0,5646967872.0,29905199224.0,65264604960.0,7514925468.0,1061957368832.0,265232626432.0,43481918976.0
15,Benin,BEN,229699.0,46145971648.0,8204732616.0,3271038866.0,1901415040.5,165016971.96875,276668264.0,1475608294912.0,177691862272.0,90248483008.0
16,Bolivia,BOL,2754741.0,58724328780.6337,59043532236.34898,12332617814.212044,55288909274.239655,39701378179.88814,11622940888.723999,1412881455007.8125,232560520082.24316,110578985882.64453
17,Bosnia and Herzegovina,BIH,16398.0,6005587968.0,44512837632.0,338085184.0,1042951552.0,7883528192.0,58761492.0,977827332096.0,150381215744.0,27984455680.0
18,Botswana,BWA,1288474.0,238437.04261779785,1898.5049930214882,7859.818638801575,362013.5140132904,2222.7623817920685,8719.34953302145,33158620.85095215,559733.8600199223,305341.6218738556
19,Brazil,BRA,25916294.0,4534394306731.728,2069174529256.4048,1126003553885.551,5081522311371.876,1931204869076.3936,1274327160516.8918,172078059712171.66,42650648395101.78,13183036376331.68
20,Brunei Darussalam,BRN,92327.0,867754.0,6760.130859375,1369.87353515625,4067486080.0,86517229.375,2957653.53125,80985770496.0,669476023.5,41502375.25
21,Bulgaria,BGR,120607.0,862019315968.0,993468907008.0,72395331208.0,252939995136.0,288347345920.0,20110189696.0,28503118184448.0,3299503030272.0,1091764660224.0
22,Burkina Faso,BFA,251448.0,100286426240.0,14704455205.0,16460577984.0,1267043280.71875,182322700.9609375,212650587.9296875,7208345010176.0,128212807168.0,436935375936.0
23,Burma,MMR,1597600.0,3121425374020.25,1133174813042.75,277856098197.65625,681064253035.0,273868453090.625,57486172940.9375,183544829423439.0,4944570469673.5,7372462778881.0
24,Burundi,BDI,235472.0,226436940464.0,1236070079828.0,45019372909.0,23617114336.0,22176738288.0,3668690696.0,8015038153728.0,72120444727296.0,1212752342912.0
25,Cambodia,KHM,617192.0,1805815041594.25,1499425350834.5928,57457535897.59375,586486686091.875,426247789710.3125,19799281737.171875,145408671965968.0,26057461681222.0,2823265230710.5
