,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
63,Guinea-Bissau,GNB,140144.0,43166536576.0,1839916671.0,1252105744.0,16078322554.0,889547088.40625,349443950.28125,791406520832.0,16884861632.0,29949503840.0,2078703721472.0,525503849472.0,343688060416.0
64,Guyana,GUY,422180.0,374742225.0,296418517.0,10618539.75,5287640300.308738,4911774148.8125,157399038.595747,594651334866.8438,14509825161.765625,9094426773.967773,588209653600.0,144841174744.0,97952354884.0
65,Haiti,HTI,126896.0,36329776928.0,52247077696.0,3207098888.0,4549514337.0,6608284244.0,400644436.03125,568812149760.0,1318501122048.0,45587056544.0,4834110771200.0,1210148986880.0,804442091520.0
66,Honduras,HND,215666.0,62441655808.0,96384472832.0,4567343912.0,104936309844.0,221793905352.25,8372002653.4375,4280772695808.0,872363059144.0,114427283790.0,8296715442176.0,2071049746432.0,1386519224320.0
67,Hungary,HUN,259725.0,1494239381504.0,4596548867072.0,100819944320.0,1275175647232.0,3805611696128.0,82633128192.0,132046774861824.0,19412181712896.0,3689719087104.0,11631555330048.0,2818759090176.0,1985389723648.0
68,India,IND,8474789.0,45296931740604.11,90172635970692.23,3721750538821.1157,10901590487413.656,14589942054749.652,882342630161.2231,2859387792134859.0,263381681753435.5,120700082831571.67,1337804847156864.0,330502325319936.0,221911404911136.0
69,Indonesia,IDN,10144781.0,16182230625513.094,1352853756621.6035,293782894411.61816,21719312350040.688,1236616620127.9001,196840486192.104,865518793201093.0,77575127540305.6,9282334009099.293,210021355234826.0,51603613629918.0,34936540014994.0
70,Iran (Islamic Republic of),IRN,3068740.0,3979889034088.75,17791425867360.0,227747922081.3711,49777434664.68946,218104731989.84378,2769152756.1311035,121571832014745.0,19893189474240.484,5278043616252.8125,66272655083519.0,16141817508095.0,11053100837887.0
71,Iraq,IRQ,811088.0,458557862904.9889,1923569926392.9219,29106001755.572052,12675305050.564278,64221144962.671875,744668998.136116,15876572418228.5,2822105233588.9297,750000556407.0938,51749031584000.0,12973286024704.0,8525492141824.0
72,Ireland,IRL,249872.0,4560828642.755109,138749792772.89062,416329735.9679386,569686050.1178846,15489604096.432617,53201925.725567885,2872151469477.5,136318777965.75781,76802887116.9375,6601498074240.0,1612328454576.0,1114348400608.0
