,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
187,0.0,100.0,99.79,99.79,99.79,99.79,99.79,99.79,99.79,59.5,62.5
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,63.5
189,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,59.5,64.5
190,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.5,65.5
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,66.5
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,67.5
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,68.5
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,80.5
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,89.5
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,91.5
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,99.5
198,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,-123.5
199,0.0,0.0,0.0,100.0,99.08,99.08,99.08,99.08,99.08,58.5,-122.5
200,0.0,0.0,0.0,99.22,94.37,94.37,94.37,94.37,94.36,58.5,-117.5
201,0.0,99.41,80.06,61.7,47.44,47.44,47.24,47.24,47.23,58.5,-116.5
202,0.0,0.0,100.0,81.45,60.8,60.8,60.76,60.76,60.76,58.5,-115.5
203,100.0,88.66,88.66,88.66,92.48,100.0,100.0,100.0,100.0,58.5,-6.5
204,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,-4.5
205,45.25,18.8,16.05,14.79,45.32,91.24,99.7,91.48,91.55,58.5,-3.5
206,16.51,13.23,13.23,13.23,17.8,22.12,31.62,23.13,23.13,58.5,-2.5
207,6.25,5.97,5.61,5.61,4.88,6.19,14.72,6.29,6.53,58.5,5.5
208,16.26,16.7,16.65,16.61,16.89,23.05,40.7,20.74,21.72,58.5,6.5
209,100.0,99.45,90.13,88.88,99.95,100.0,100.0,100.0,99.57,58.5,7.5
210,99.86,99.84,99.84,99.84,99.71,99.72,100.0,100.0,99.92,58.5,8.5
211,90.02,57.84,44.22,43.52,94.14,99.8,99.8,99.8,99.8,58.5,9.5
212,39.63,7.2,3.58,3.58,50.83,59.69,75.76,75.76,88.22,58.5,10.5
213,26.82,14.87,13.88,11.7,33.08,91.55,96.19,93.14,94.57,58.5,11.5
214,17.07,4.02,3.55,3.41,18.33,35.65,34.85,34.75,29.87,58.5,12.5
215,16.04,5.83,4.9,4.71,15.64,29.16,28.98,28.96,26.69,58.5,13.5
216,22.95,15.01,14.44,14.32,23.18,40.55,40.45,39.43,38.3,58.5,14.5
217,22.18,8.19,6.95,6.68,23.11,38.57,37.59,37.6,34.31,58.5,15.5
218,49.35,21.85,16.97,15.91,49.14,69.53,63.0,62.61,52.87,58.5,16.5
219,85.67,43.9,32.15,29.06,84.63,86.25,75.63,76.03,64.96,58.5,17.5
220,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,21.5
221,99.88,96.83,89.64,93.84,99.26,99.72,99.38,99.38,98.04,58.5,22.5
222,99.9,74.54,72.42,70.08,80.08,99.17,98.96,98.96,97.02,58.5,23.5
223,99.47,79.76,73.85,72.48,88.9,97.47,95.92,95.92,92.74,58.5,24.5
224,84.12,56.8,47.26,54.67,65.7,80.36,81.77,81.72,70.19,58.5,25.5
225,88.68,63.65,60.17,55.24,63.43,83.23,85.74,85.49,76.22,58.5,26.5
226,93.69,83.75,83.62,75.12,74.81,92.29,96.47,96.46,86.29,58.5,27.5
227,100.0,100.0,38.43,73.17,99.17,99.14,99.14,99.14,99.14,58.5,28.5
228,97.17,83.58,38.23,42.3,78.79,78.49,79.56,79.61,78.49,58.5,29.5
229,86.09,70.48,51.66,52.21,54.37,54.34,54.62,54.67,54.34,58.5,30.5
230,72.62,56.65,41.82,41.82,39.84,39.97,39.95,39.95,39.95,58.5,31.5
231,100.0,100.0,97.12,97.12,95.77,96.59,96.59,96.59,96.59,58.5,32.5
232,100.0,99.98,93.66,93.66,84.75,84.68,84.64,84.64,84.64,58.5,33.5
233,100.0,95.59,82.07,82.14,80.34,80.72,80.72,80.72,80.72,58.5,34.5
234,100.0,100.0,99.61,99.61,99.63,99.61,99.61,99.61,99.61,58.5,35.5
235,100.0,99.17,93.1,93.73,94.52,93.79,93.79,93.79,93.79,58.5,36.5
236,92.86,87.34,80.56,80.73,60.19,82.34,83.72,83.74,82.34,58.5,37.5
237,0.0,40.24,21.24,24.64,49.58,49.0,57.42,59.13,48.52,58.5,38.5
